a,b,c,d
1,5,,
2,1,,
3,,,
4,,,
5,1,,
6,,,
7,10,,
8,13,,
9,1,,
10,1,,
11,1,,
12,3,,
13,7,,
14,2,,
15,3,,
16,3,,
17,1,,
18,68,,
19,75,,
20,13,,
21,,,
22,1,,
23,3,,
24,1,,
25,5,,
26,4,,
27,4,,
28,4,,
29,1,,
30,1,,
31,,,
32,,,
33,,,
34,,,
35,4,,
36,1,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,2,,
45,10,,
46,17,,
47,,,
48,8,,
49,,,
50,3,,
51,,,
52,1,,
53,3,,
54,2,,
55,,,
56,4,,
57,31,,2
58,8,,
59,,,
60,4,,
61,4,,
62,2,,
63,12,,
64,2,,
65,,,
66,,,
67,2,,
68,,,
69,11,,
70,3,,
71,,,
72,,,
73,5,,
74,1,,
75,,,
76,2,,
77,1,,
78,,,
79,,,
80,1,,
81,,,
82,,,
83,1,,
84,1,,
85,2,,
86,,,
87,3,,
88,20,,
89,8,,
90,3,,
91,2,1,
92,1,,
93,2,,
94,,,
95,,,
96,,,
97,5,,
98,,,
99,,,
100,,,
101,3,,
102,,,
103,8,,
104,,,
105,,,
106,1,,
107,,,
108,1,,
109,1,,
110,,,
111,,,
112,2,1,
113,,,
114,3,,
115,5,,
116,,,
117,,,
118,,,
119,3,,
120,1,,
121,15,1,
122,2,,
123,,,
124,2,,
125,,,
126,3,,
127,22,,
128,,,
129,20,,
130,5,,
131,7,,
132,17,,
133,1,,
134,122,2,2
135,,,
136,38,1,
137,33,2,
138,2,,
139,,,
140,20,,
141,36,,
142,5,,
143,618,45,40
144,,,
145,43,,
146,11,,
147,55,,
148,20,1,
149,7,,
150,18,,
151,,,
152,3,,
153,8,,
154,5,,
155,2,,
156,3,,
157,3,,
158,4,,
159,4,,
160,6,,
161,,,
162,3,,
163,5,,
164,1,,
165,3,,
166,7,,
167,2,,
168,1,,
169,7,,
170,1,,
171,2,,
172,,,
173,1,,
174,1,,
175,2,,
176,6,,
177,7,,
178,,,
179,1,,
180,2,,
181,4,,
182,2,,
183,6,,
184,1,,
185,5,,
186,,,
187,,,
188,,,
189,1,,
190,2,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,2,,
198,2,,
199,4,,
200,1,,
201,,,
202,,,
203,2,,
204,,,
205,,,
206,2,,
207,6,,
208,2,,
209,,,
210,,,
211,,,
212,1,,
213,,,
214,1,,
215,2,,
216,,,
217,,,
218,,,
219,2,,
220,,,
221,1,,
222,,,
223,,,
224,2,,
225,1,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,1,,
234,3,,
235,,,
236,1,,
237,1,,
238,5,,
239,,,
240,8,,
241,3,,
242,1,,
243,,,
244,3,,
245,,,
246,,,
247,1,,
248,5,,
249,5,,
250,,,
251,1,,
252,7,,
253,8,,
254,,,
255,,,
256,2,,
257,4,,
258,2,,
259,,,
260,1,,
261,40,1,1
262,1,,
263,1,,
264,,,
265,2,,
266,,,
267,,,
268,,,
269,2,,
270,,,
271,1,,
272,2,,
273,,,
274,22,,
275,1,,
276,1,,
277,2,,
278,2,,
279,,,
280,1,,
281,,,
282,2,,
283,1,,
284,5,,
285,2,,
286,,,
287,1,,
288,,,
289,,,
290,2,,
291,1,,
292,,,
293,1,,
294,,,
295,14,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,2,,
319,,,
320,,,
321,1,,
322,2,,
323,,,
324,4,,
325,2,,
326,,,
327,,,
328,,,
329,1,,
330,,,
331,1,,
332,1,,
333,1,,
334,27,,
335,1,,
336,8,,
337,3,,
338,3,,
339,13,,
340,,,
341,5,,
342,21,,
343,18,,1
344,2,,
